temp = 32.228378, state = 1     temp = 32.228378, state = 1
   temp = 32.167789, state = 1  temp = 32.167789, state = 1
temp = 32.225731, state = 1     temp = 32.225731, state = 1
temp = 32.387199, state = 1     temp = 32.387199, state = 1
temp = 32.388165, state = 1     temp = 32.388165, state = 1
  temp = 32.563885, state = 1   temp = 32.563885, state = 1
 temp = 32.475029, state = 1    temp = 32.475029, state = 1
temp = 32.546581, state = 1     temp = 32.546581, state = 1
 temp = 32.666588, state = 1    temp = 32.666588, state = 1
   temp = 32.929897, state = 1  temp = 32.929897, sta   temp = 32.966972, state = 1     temp = 32.966972, state = 1
  temp = 32.947121, state = 1   temp = 32.947121, state = 1
 temp = 33.096107, state = 1    temp = 33.096107, state = 1
temp = 33.474258, state = 1     temp = 33.474258, state = 1
  temp = 33.589535, state = 1   temp = 33.589535, state = 1
temp = 33.830612, state = 1     temp = 33.830612, state = 1
  temp = 34.135517, state = 1   temp = 34.135517, state = 1
  temp = 34.275669, state = 1   temp = 34.275669, state = 1
 temp = 34.156593, state = 1    temp = 34.156593, state = 1
 temp = 34.374619, state = 1    temp = 34.374619, state = 1
  temp = 34.506302, state = 1   temp = 34.506302, state = 1
temp = 34.341118, state = 1     temp = 34.341118, state = 1
  temp = 34.426697, state = 1   temp = 34.426697, state = 1
 temp = 34.546848, state = 1    temp = 34.546848, state = 1
  temp = 34.763306, state = 1   temp = 34.763306, state = 1
   temp = 34.907452, state = 1  temp = 34.907452, state = 1
 temp = 34.790813, state = 1    temp = 34.790813, state = 1
 temp = 35.044121, state = 1    elsetemp = 35.044121    temp = 35.044121, state = 0
   temp = 35.007465, state = 1  elsetemp = 35.007465    temp = 35.007465, state = 0
 temp = 34.834694, state = 0    temp = 34.834694, state = 1
 temp = 34.804321, state = 0    temp = 34.804321, state = 1
  temp = 35.036419, state = 1   elsetemp = 35.036419    temp = 35.036419, state = 0
temp = 34.772285, state = 0     temp = 34.772285, state = 1
 temp = 35.132683, state = 1    elsetemp = 35.132683    temp = 35.132683, state = 0
  temp = 35.019295, state = 0   elsetemp = 35.019295    temp = 35.019295, state = 1
  temp = 34.889893, state = 0   temp = 34.889893, state = 1
 temp = 35.237648, state = 1    elsetemp = 35.237648    temp = 35.237648, state = 0
temp = 34.911385, state = 0     temp = 34.911385, state = 1
  temp = 35.298035, state = 1   elsetemp = 35.298035    temp = 35.298035, state = 0
   temp = 35.134666, state = 1  elsetemp = 35.134666    temp = 35.134666, state = 0
 temp = 34.992340, state = 0    temp = 34.992340, state = 1
 temp = 35.352856, state = 1    elsetemp = 35.352856    temp = 35.352856, state = 0
  temp = 35.263905, state = 0   elsetemp = 35.263905    temp = 35.263905, state = 1
temp = 35.059925, state = 0     elsetemp = 35.059925    temp = 35.059925, state = 1
 temp = 35.304489, state = 1    elsetemp = 35.304489    temp = 35.304489, state = 0
temp = 35.040730, state = 0     elsetemp = 35.040730    temp = 35.040730, state = 1
temp = 35.391945, state = 1     elsetemp = 35.  temp = 35.373356, state = 1     elsetemp = 35.373356    temp = 35.373356, state = 0
temp = 35.239784, state = 0     elsetemp = 35.239784    temp = 35.239784, state = 1
  temp = 35.580593, state = 1   elsetemp = 35.580593    temp = 35.580593, state = 0
 temp = 35.331112, state = 0    elsetemp = 35.331112    temp = 35.331112, state = 1
  temp = 35.353386, state = 0   elsetemp = 35.353386    temp = 35.353386, state = 1
temp = 35.345242, state = 0     elsetemp = 35.345242    temp = 35.345242, state = 1
temp = 35.500706, state = 1     elsetemp = 35.500706    temp = 35.500706, state = 0
   temp = 35.444942, state = 1  elsetemp = 35.444942    temp = 35.444942, state = 0
 temp = 35.368164, state = 1    elsetemp = 35.368164    temp = 35.368164, state = 0
 temp = 35.144390, state = 0    elsetemp = 35.144390    temp = 35.144390, state = 1
 temp = 35.098942, state = 0    elsetemp = 35.098942    temp = 35.098942, state = 1
   temp = 35.262878, state = 0  elsetemp = 35.262878    temp = 35.262878, state = 1
 temp = 35.540363, state = 1    elsetemp = 35.540363    temp = 35.540363, state = 0
  temp = 35.200367, state = 0   elsetemp = 35.200367    temp = 35.200367, temp = 35.585690, state = 1   elsetemp = 35.585690    temp = 35.585690, state = 0
   temp = 35.500473, state = 1  elsetemp = 35.500473    temp = 35.500473, state = 0
temp = 35.264179, state = 0     elsetemp = 35.264179    temp = 35.264179, state = 1
  temp = 35.492798, state = 1   elsetemp = 35.492798    temp = 35.492798, state = 0
temp = 35.287762, state = 0     elsetemp = 35.287762    temp = 35.287762, state = 1
temp = 35.341690, state = 0     elsetemp = 35.341690    temp = 3 temp = 35.618713, state = 1    elsetemp = 35.618713    temp = 35.618713, state = 0
 temp = 35.473625, state = 0    elsetemp = 35.473625    temp = 35.473625, state = 1
 temp = 35.607258, state = 1    elsetemp = 35.607258    temp = 35.607258, state = 0
 temp = 35.837345, state = 1    elsetemp = 35.837345    temp = 35.837345, state = 0
 temp = 35.468658, state = 0    elsetemp = 35.468658    temp = 35.468658, state = 1
 temp = 35.787582, state = 1    elsetemp = 35.787582    temp = 35.787582, state = 0
